stockid,stocklong,SSB_now,F_now,B_lim,ADH,lastyear,tsn,scientificname,commonname,family,ordername,taxGroup,FisheryType,zero,stocklong_short
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,298563.0,0.01279,141116.6,58.59221789228207,2023,166774,Sebastes fasciatus,Acadian redfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Acadian redfish Gulf of Maine / Georges Bank
ACMACKSARG,Argentine chub mackerel Southern Argentina,103294.8444,0.106,35442.62496,10.091247878897176,2019,172413,Scomber colias,Argentine chub mackerel,Scombridae,Perciformes,carangids-mackerels,Forage Fish,0,Argentine chub mackerel Southern Argentina
ALBANPAC,Albacore tuna North Pacific Ocean,58858.0,0.47,17343.0,2.5998697798436585,2018,172419,Thunnus alalunga,Albacore tuna,Scombridae,Perciformes,tuna-billfish,Tuna and Marlin,0,Albacore tuna North Pacific Ocean
ALBASPAC,Albacore tuna South Pacific Ocean,158100.0,0.28,74200.0,2.7016556930074698,2019,172419,Thunnus alalunga,Albacore tuna,Scombridae,Perciformes,tuna-billfish,Tuna and Marlin,0,Albacore tuna South Pacific Ocean
ALPLAICBSAI,Alaska plaice Bering Sea and Aleutian Islands,158325.0,0.079360001,67384.2,10.76410411499618,2021,172901,Pleuronectes quadrituberculatus,Alaska plaice,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Alaska plaice Bering Sea and Aleutian Islands
ALSKABSAI,Alaska skate Bering Sea and Aleutian Islands,142000.0,0.03,33400.0,48.2423719206202,2020,160939,Bathyraja parmifera,Alaska skate,Arhynchobatidae,Rajiformes,elasmobranchs,Sharks Rays and Skates,0,Alaska skate Bering Sea and Aleutian Islands
AMPL3LNO,American plaice Grand Banks,35500.0,0.193,47200.0,0.0,2007,172877,Hippoglossoides platessoides,American plaice,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,1,American plaice Grand Banks
AMPL3M,American plaice Flemish Cap,1170.0,0.0641,1916.0,0.0,2007,172877,Hippoglossoides platessoides,American plaice,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,1,American plaice Flemish Cap
AMPL5YZ,American plaice Gulf of Maine / Georges Bank,18809.09375,0.045019999,11677.3125,10.588463279308218,2021,172877,Hippoglossoides platessoides,American plaice,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,American plaice Gulf of Maine / Georges Bank
ANCHIXa,Anchovy Portugese Waters -East,0.696,1.115617998,0.522,0.2578679018871304,2021,161831,Engraulis encrasicolus,Anchovy,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,Anchovy Portugese Waters -East
ANCHMEDGSA1,Anchovy Northern Alboran Sea,526.0,1.05,702.0,0.0,2009,161831,Engraulis encrasicolus,Anchovy,Engraulidae,Clupeiformes,forage fish,Forage Fish,1,Anchovy Northern Alboran Sea
ANCHMEDGSA16,Anchovy South of Sicily,3633.77,0.4256845,937.862,3.181753479786787,2021,161831,Engraulis encrasicolus,Anchovy,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,Anchovy South of Sicily
ANCHMEDGSA17-18,"Anchovy Adriatic Sea (GSA 17,18)",20177.88,1.002638077,10571.366000000002,0.6447370636663097,2022,161831,Engraulis encrasicolus,Anchovy,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,"Anchovy Adriatic Sea (GSA 17,18)"
ANCHMEDGSA20,Anchovy Eastern Ionian Sea,1190.0,0.814,404.0,1.327142147597574,2008,161831,Engraulis encrasicolus,Anchovy,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,Anchovy Eastern Ionian Sea
ANCHMEDGSA22-23,"Anchovy Aegean Sea and Crete Island (GSA 22,23)",74802.0,0.4636,14960.4,3.4716089569329167,2016,161831,Engraulis encrasicolus,Anchovy,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,"Anchovy Aegean Sea and Crete Island (GSA 22,23)"
ANCHMEDGSA29,Anchovy Black Sea,431067.3,1.390449,184172.46,0.6115949777108752,2021,161831,Engraulis encrasicolus,Anchovy,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,Anchovy Black Sea
ANCHMEDGSA6,Anchovy Northern Spain,26500.0,0.171248091,5880.0,8.791852582354574,2009,161831,Engraulis encrasicolus,Anchovy,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,Anchovy Northern Spain
ANCHMEDGSA7,Anchovy Gulf of Lions,135153.38,0.008,27030.676000000003,201.1797390542625,2021,161831,Engraulis encrasicolus,Anchovy,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,Anchovy Gulf of Lions
ANCHMEDGSA9-11,Anchovy Geographical Sub-Areas 9-11,39011.0,0.33589,7802.200000000001,4.7915624532856,2016,161831,Engraulis encrasicolus,Anchovy,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,Anchovy Geographical Sub-Areas 9-11
ANCHOBAYB,Anchovy Bay of Biscay,174000.0,0.148685731,34800.0,10.824427479420338,2020,161831,Engraulis encrasicolus,Anchovy,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,Anchovy Bay of Biscay
ANCHOVYKILKACS,Anchovy kilka Iranian Caspian Sea,7160.0,1.28,21200.0,0.0,2004,551220,Clupeonella engrauliformis,Anchovy kilka,Clupeidae,Clupeiformes,forage fish,Forage Fish,1,Anchovy kilka Iranian Caspian Sea
ANGLMEDGSA15-16,"Black bellied angler Malta Island and South of Sicily (GSA 15, 16)",536.0,0.351,195.6,2.871972659458932,2010,164502,Lophius budegassa,Black bellied angler,Lophiidae,Lophiiformes,other marine fish,Other Marine,0,"Black bellied angler Malta Island and South of Sicily (GSA 15, 16)"
ANGLMEDGSA5,Black bellied angler Balearic Island,8.17,0.611,3.4200000000000004,1.4252509947584246,2013,164502,Lophius budegassa,Black bellied angler,Lophiidae,Lophiiformes,other marine fish,Other Marine,0,Black bellied angler Balearic Island
ANGLMEDGSA6,Black bellied angler Northern Spain,488.0,0.909,138.4,1.3863227312096569,2013,164502,Lophius budegassa,Black bellied angler,Lophiidae,Lophiiformes,other marine fish,Other Marine,0,Black bellied angler Northern Spain
ANGLVIIIc-IXa,Black bellied angler ICES 8c-9a,1.27,0.3945,0.272,3.90613463411062,2021,164502,Lophius budegassa,Black bellied angler,Lophiidae,Lophiiformes,other marine fish,Other Marine,0,Black bellied angler ICES 8c-9a
ARFLOUNDBSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,503360.0,0.017689999,110061.4,85.9393620081516,2020,616029,Atheresthes stomias,Arrowtooth flounder,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Arrowtooth flounder Bering Sea and Aleutian Islands
ARFLOUNDGA,Arrowtooth flounder Gulf of Alaska,730753.0,0.028200001,219904.0,42.58455245701735,2021,616029,Atheresthes stomias,Arrowtooth flounder,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Arrowtooth flounder Gulf of Alaska
ARFLOUNDPCOAST,Arrowtooth flounder Pacific Coast,72600.0,0.034,15120.0,46.14548679645186,2021,616029,Atheresthes stomias,Arrowtooth flounder,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Arrowtooth flounder Pacific Coast
ARGANCHONARG,Argentine anchoita Northern Argentina,797356.8862,0.0137,551336.7364,26.931139137786456,2019,551338,Engraulis anchoita,Argentine anchoita,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,Argentine anchoita Northern Argentina
ARGANCHOSARG,Argentine anchoita Southern Argentina,974089.1537,0.0114,313202.7664,99.53088037316532,2019,551338,Engraulis anchoita,Argentine anchoita,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,Argentine anchoita Southern Argentina
ARGHAKENARG,Argentine hake Northern Argentina,119165.0,0.333,99343.4,0.5463259830924008,2018,164800,Merluccius hubbsi,Argentine hake,Merlucciidae,Gadiformes,gadids,Gadids,0,Argentine hake Northern Argentina
ARGHAKESARG,Argentine hake Southern Argentina,539759.0,0.534,122321.4,2.779907746624978,2018,164800,Merluccius hubbsi,Argentine hake,Merlucciidae,Gadiformes,gadids,Gadids,0,Argentine hake Southern Argentina
ATBTUNAEATL,Atlantic bluefin tuna Eastern Atlantic,605000.0,0.0379,121000.0,42.46538027530608,2015,172421,Thunnus thynnus,Atlantic bluefin tuna,Scombridae,Perciformes,tuna-billfish,Tuna and Marlin,0,Atlantic bluefin tuna Eastern Atlantic
ATBTUNAWATL,Atlantic bluefin tuna Western Atlantic,18400.0,0.094,6000.0,11.921182929647712,2015,172421,Thunnus thynnus,Atlantic bluefin tuna,Scombridae,Perciformes,tuna-billfish,Tuna and Marlin,0,Atlantic bluefin tuna Western Atlantic
ATHAL3NOPs4VWX5Zc,Atlantic halibut Scotian Shelf and Southern Grand Banks,6650.0,0.3,1330.0,5.364793041447001,2013,172933,Hippoglossus hippoglossus,Atlantic halibut,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Atlantic halibut Scotian Shelf and Southern Grand Banks
ATKABSAI,Atka mackerel Bering Sea and Aleutian Islands,114000.0,0.32,62400.0,1.8832286656847292,2020,167120,Pleurogrammus monopterygius,Atka mackerel,Hexagrammidae,Scorpaeniformes,other scorpaenids,Other Marine,0,Atka mackerel Bering Sea and Aleutian Islands
ATLCROAKMATLC,Atlantic croaker Mid-Atlantic Coast,134143.0,0.07,26828.6,22.99197017763,2008,169283,Micropogonias undulatus,Atlantic croaker,Sciaenidae,Perciformes,other marine percoidids,Other Marine,0,Atlantic croaker Mid-Atlantic Coast
ATOOTHFISHRS,Antarctic toothfish Ross Sea,57900.0,0.0438,14140.0,32.18515351850509,2007,642808,Dissostichus mawsoni,Antarctic toothfish,Nototheniidae,Perciformes,other marine fish,Other Marine,0,Antarctic toothfish Ross Sea
AUROCKPCOAST,Aurora rockfish Pacific Coast,1670.0,0.307,552.0,3.6059637105332425,2013,166709,Sebastes aurora,Aurora rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Aurora rockfish Pacific Coast
AUSSALMONNZ,Australian salmon New Zealand,27200.0,0.07,8840.0,16.05614423789142,2013,168827,Arripis trutta,Australian salmon,Arripidae,Perciformes,other marine percoidids,Other Marine,0,Australian salmon New Zealand
AWOLF5YZ,Atlantic wolffish Gulf of Maine / Georges Bank,676.0,0.005,978.0,0.0,2019,171341,Anarhichas lupus,Atlantic wolffish,Anarhichadidae,Perciformes,other marine fish,Other Marine,1,Atlantic wolffish Gulf of Maine / Georges Bank
BGRDRNSWWA,Blue grenadier New South Wales to Western Australia,45959.8,0.553399,13832.64,2.1697474779145773,2020,623193,Macruronus novaezelandiae,Blue grenadier,Merlucciidae,Gadiformes,gadids,Gadids,0,Blue grenadier New South Wales to Western Australia
BGROCKPCOAST,Blackgill rockfish Pacific Coast,856000000000.0,0.212,412000000000.0,3.4492784282651683,2019,166728,Sebastes melanostomus,Blackgill rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Blackgill rockfish Pacific Coast
BHEADSHARATL,Bonnethead shark Atlantic,6070000.0,0.101,3200000.0,6.338691042234912,2011,160502,Sphyrna tiburo,Bonnethead shark,Sphyrnidae,Carcharhiniformes,elasmobranchs,Sharks Rays and Skates,0,Bonnethead shark Atlantic
BIGEYECWPAC,Bigeye tuna Central Western Pacific Ocean,968000.0,0.25,512000.0,2.5476298489482767,2015,172428,Thunnus obesus,Bigeye tuna,Scombridae,Perciformes,tuna-billfish,Tuna and Marlin,0,Bigeye tuna Central Western Pacific Ocean
BIGEYEEPAC,Bigeye tuna Eastern Pacific,110000.0,0.826,52200.0,0.9024187299077762,2016,172428,Thunnus obesus,Bigeye tuna,Scombridae,Perciformes,tuna-billfish,Tuna and Marlin,0,Bigeye tuna Eastern Pacific
BIGHTREDSE,Bight redfish Southeast Australia,3480.0,0.0202,1154.0,54.64347156933046,2014,622143,Centroberyx gerrardi,Bight redfish,Berycidae,Beryciformes,other marine fish,Other Marine,0,Bight redfish Southeast Australia
BIGSKAPCOAST,Big skate Pacific Coast,2000.0,0.074,506.0,18.572510679116444,2019,160848,Raja binoculata,Big skate,Rajidae,Rajiformes,elasmobranchs,Sharks Rays and Skates,0,Big skate Pacific Coast
BKCDLFENI,Black cardinalfish East coast of North Island,3620.0,0.457,7160.0,0.0,2009,168298,Epigonus telescopus,Black cardinalfish,Epigonidae,Perciformes,other marine percoidids,Other Marine,1,Black cardinalfish East coast of North Island
BLACKGROUPERGMSATL,Black grouper Gulf of Mexico and South Atlantic,3760.0,0.108,752.0,14.902202892908337,2008,167760,Mycteroperca bonaci,Black grouper,Serranidae,Perciformes,other marine percoidids,Other Marine,0,Black grouper Gulf of Mexico and South Atlantic
BLACKOREOPR,Black oreo Pukaki Rise,10500.0,0.301,6440.0,1.624075471917659,2009,625296,Allocyttus niger,Black oreo,Oreosomatidae,Zeiformes,other marine fish,Other Marine,0,Black oreo Pukaki Rise
BLACKOREOWECR,Black oreo West end of Chatham Rise,27200.0,0.0281,17800.0,15.089626904053814,2007,625296,Allocyttus niger,Black oreo,Oreosomatidae,Zeiformes,other marine fish,Other Marine,0,Black oreo West end of Chatham Rise
BLACKROCKCAL,Black rockfish California,610.0,0.227,212.0,4.655826795133676,2019,166727,Sebastes melanops,Black rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Black rockfish California
BLACKROCKORECOAST,Black rockfish Oregon Coast,745000000000.0,0.398,264000000000.0,2.606620892545837,2019,166727,Sebastes melanops,Black rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Black rockfish Oregon Coast
BLACKROCKWASH,Black rockfish Washington,426000000000.0,0.37,188800000000.0,2.199327277183703,2023,166727,Sebastes melanops,Black rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Black rockfish Washington
BLINGVa-XIV,Blue ling ICES 5a-14,717.0,0.834,398.0,0.7057839751980607,2020,164761,Molva dypterygia,Blue ling,Lotidae,Gadiformes,gadids,Gadids,0,Blue ling ICES 5a-14
BLINGVb-VI-VII,Blue ling ICES 5b-6-7,99300.0,0.03615,19860.0,44.521104078398345,2020,164761,Molva dypterygia,Blue ling,Lotidae,Gadiformes,gadids,Gadids,0,Blue ling ICES 5b-6-7
BLSHARNPAC,Blue shark North Pacific,295774.0,0.1,64540.0,15.223104625618394,2015,160424,Prionace glauca,Blue shark,Carcharhinidae,Carcharhiniformes,elasmobranchs,Sharks Rays and Skates,0,Blue shark North Pacific
BLTILESATLC,Blueline tilefish Southern Atlantic coast,201.6541,0.134,122.23118,3.736117042521328,2011,168543,Caulolatilus microps,Blueline tilefish,Malacanthidae,Perciformes,other marine percoidids,Other Marine,0,Blueline tilefish Southern Atlantic coast
BLUEFISHATLC,Bluefish Atlantic Coast,52747.0,0.152,41013.4,1.655316158719975,2022,168559,Pomatomus saltatrix,Bluefish,Pomatomidae,Perciformes,other marine percoidids,Other Marine,0,Bluefish Atlantic Coast
BLUEROCKCAL,Blue rockfish California,622000000.0,0.048,416000000.0,8.380309009956585,2007,166730,Sebastes mystinus,Blue rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Blue rockfish California
BMARLINPAC,Blue marlin Pacific Ocean,24241.0,0.11,13846.4,5.091092212974268,2019,172491,Makaira nigricans,Blue marlin,Istiophoridae,Perciformes,tuna-billfish,Tuna and Marlin,0,Blue marlin Pacific Ocean
BNOSESHARATL,Blacknose shark Atlantic,58000.0,0.376,47400.0,0.5367573985249693,2009,160304,Carcharhinus acronotus,Blacknose shark,Carcharhinidae,Carcharhiniformes,elasmobranchs,Sharks Rays and Skates,0,Blacknose shark Atlantic
BNSNZ,Bluenose New Zealand,9862.117721,0.206,7397.705138000001,1.3957819851036133,2021,172514,Hyperoglyphe antarctica,Bluenose,Centrolophidae,Perciformes,other marine fish,Other Marine,0,Bluenose New Zealand
BOARVI-VIII,Boarfish ICES 6-8,270900.0,0.581,155569.99968,0.954653975987902,2019,166320,Capros aper,Boarfish,Caproidae,Perciformes,other marine fish,Other Marine,0,Boarfish ICES 6-8
BOCACCSPCOAST,Bocaccio Southern Pacific Coast,3600000000.0,0.055,1962000000.0,11.035808805798055,2017,166733,Sebastes paucispinis,Bocaccio,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Bocaccio Southern Pacific Coast
BRMSOJ,Yellow sea bream Sea of Japan,2910.0,0.46,932.0,2.4751642293042324,2010,647939,Dentex tumifrons,Yellow sea bream,Sparidae,Perciformes,other marine percoidids,Other Marine,0,Yellow sea bream Sea of Japan
BRNSHRIMPGM,Brown shrimp Gulf of Mexico,12174.29225,1.72958,12019.172226,0.0074142135754388,2017,551570,Farfantepenaeus aztecus,Brown shrimp,Penaeidae,Decapoda,shrimps,Invertebrate,0,Brown shrimp Gulf of Mexico
BSBASSMATLC,Black sea bass Mid-Atlantic Coast,29800.0,0.39,7920.0,3.397736378679549,2019,167687,Centropristis striata,Black sea bass,Serranidae,Perciformes,other marine percoidids,Other Marine,0,Black sea bass Mid-Atlantic Coast
BSBASSSATL,Black sea bass South Atlantic,2140000000000.0,0.197,768000000000.0,5.201885151615356,2016,167687,Centropristis striata,Black sea bass,Serranidae,Perciformes,other marine percoidids,Other Marine,0,Black sea bass South Atlantic
BSQLOBSTERCSCH,Yellow squat lobster Central-Southern Chile,5810.0,0.254,3420.0,2.08637803066656,2015,-992,Cervimunida johni,Yellow squat lobster,Munididae,Decapoda,crabs-lobsters,Invertebrate,0,Yellow squat lobster Central-Southern Chile
BSQLOBSTERNCH,Yellow squat lobster Northern Chile,4020.0,0.11,956.0,13.057084259651504,2015,-992,Cervimunida johni,Yellow squat lobster,Munididae,Decapoda,crabs-lobsters,Invertebrate,0,Yellow squat lobster Northern Chile
BTIPSHARATL,Blacktip shark Atlantic,18200000.0,0.001,3840000.0,1555.949227483114,2004,160318,Carcharhinus limbatus,Blacktip shark,Carcharhinidae,Carcharhiniformes,elasmobranchs,Sharks Rays and Skates,0,Blacktip shark Atlantic
BTIPSHARGM,Blacktip shark Gulf of Mexico,15300000.0,0.0062,3400000.0,242.5931285123023,2010,160318,Carcharhinus limbatus,Blacktip shark,Carcharhinidae,Carcharhiniformes,elasmobranchs,Sharks Rays and Skates,0,Blacktip shark Gulf of Mexico
BTSHRIMPNAUST,Brown tiger shrimp Northern Australia,23966420.0,0.135,9835548.0,6.597411216853706,2015,95625,Penaeus esculentus,Brown tiger shrimp,Penaeidae,Decapoda,shrimps,Invertebrate,0,Brown tiger shrimp Northern Australia
BUTTERGOMCHATT,Atlantic butterfish Gulf of Maine / Cape Hatteras,29300.0,0.21,27200.0,0.3541454415289045,2019,172567,Peprilus triacanthus,Atlantic butterfish,Stromateidae,Perciformes,other marine fish,Other Marine,0,Atlantic butterfish Gulf of Maine / Cape Hatteras
BWHITMEDGSA1,Blue whiting Northern Alboran Sea,428.0,1.4,195.4,0.5600531828379388,2011,164774,Micromesistius poutassou,Blue whiting,Gadidae,Gadiformes,gadids,Gadids,0,Blue whiting Northern Alboran Sea
BWHITMEDGSA6,Blue whiting Northern Spain,341.0,1.26,132.4,0.75083716966715,2013,164774,Micromesistius poutassou,Blue whiting,Gadidae,Gadiformes,gadids,Gadids,0,Blue whiting Northern Spain
BWHITMEDGSA9,Blue whiting Ligurian and North Tyrrhenian Sea,281.0,0.378,56.2,4.257772255116668,2013,164774,Micromesistius poutassou,Blue whiting,Gadidae,Gadiformes,gadids,Gadids,0,Blue whiting Ligurian and North Tyrrhenian Sea
BWHITNEA,Blue whiting Northeast Atlantic,3400000.0,0.508,1370000.0,1.7893005743741774,2022,164774,Micromesistius poutassou,Blue whiting,Gadidae,Gadiformes,gadids,Gadids,0,Blue whiting Northeast Atlantic
CABEZNCAL,Cabezon Northern California,643.0,0.296,197.2,3.9929941961793394,2019,692068,Scorpaenichthys marmoratus,Cabezon,Cottidae,Scorpaeniformes,other scorpaenids,Other Marine,0,Cabezon Northern California
CABEZORECOAST,Cabezon Oregon Coast,177.0,0.459,67.0,2.11646429887334,2019,692068,Scorpaenichthys marmoratus,Cabezon,Cottidae,Scorpaeniformes,other scorpaenids,Other Marine,0,Cabezon Oregon Coast
CABEZSCAL,Cabezon Southern California,101.0,0.206,41.0,4.376448787072581,2019,692068,Scorpaenichthys marmoratus,Cabezon,Cottidae,Scorpaeniformes,other scorpaenids,Other Marine,0,Cabezon Southern California
CALSCORPSCAL,California scorpionfish Southern California,882.457,0.23429,324.886,4.264952455686643,2017,166827,Scorpaena guttata,California scorpionfish,Scorpaenidae,Scorpaeniformes,other scorpaenids,Other Marine,0,California scorpionfish Southern California
CHERRCHVX,Chilean herring Central-Southern Chile,1620000.0,0.262,366000.0,5.677664484065128,2012,615818,Clupea bentincki,Chilean herring,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Chilean herring Central-Southern Chile
CHILISPCOAST,Chilipepper Southern Pacific Coast,4710000000.0,0.02739,1360000000.0,45.35243549764023,2017,166722,Sebastes goodei,Chilipepper,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Chilipepper Southern Pacific Coast
CHROCKCPCOAST,China rockfish Central Pacific Coast,40000000000.0,0.48,13000000000.0,2.3415210346924997,2019,166731,Sebastes nebulosus,China rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,China rockfish Central Pacific Coast
CHROCKNPCOAST,China rockfish Northern Pacific Coast,17000000000.0,0.479,4800000000.0,2.640078133908916,2019,166731,Sebastes nebulosus,China rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,China rockfish Northern Pacific Coast
CHROCKSPCOAST,China rockfish Southern Pacific Coast,21000000000.0,0.466,13400000000.0,0.9640938428466896,2019,166731,Sebastes nebulosus,China rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,China rockfish Southern Pacific Coast
CHTRACCH,Chilean jack mackerel Chilean EEZ and offshore,14289000.0,0.1,3972400.0,12.801195644397668,2022,168597,Trachurus murphyi,Chilean jack mackerel,Carangidae,Perciformes,carangids-mackerels,Forage Fish,0,Chilean jack mackerel Chilean EEZ and offshore
CMACKPCOAST,Pacific chub mackerel Pacific Coast,47178.0,0.0873,119492.0,0.0,2016,172412,Scomber japonicus,Pacific chub mackerel,Scombridae,Perciformes,carangids-mackerels,Forage Fish,1,Pacific chub mackerel Pacific Coast
CMACKPJPN,Chub mackerel Pacific Coast of Japan,1185000.0,0.28,280200.0,5.149980070236874,2018,172412,Scomber japonicus,Chub mackerel,Scombridae,Perciformes,carangids-mackerels,Forage Fish,0,Chub mackerel Pacific Coast of Japan
COBGM,Cobia Gulf of Mexico,3730.0,0.676,3600.0,0.0524769056119229,2018,168566,Rachycentron canadum,Cobia,Rachycentridae,Perciformes,other marine percoidids,Other Marine,0,Cobia Gulf of Mexico
COBSATLC,Cobia Southern Atlantic coast,693.4575,0.195,380.8538,3.0732019491339138,2011,168566,Rachycentron canadum,Cobia,Rachycentridae,Perciformes,other marine percoidids,Other Marine,0,Cobia Southern Atlantic coast
COD1F-XIV,Atlantic cod NAFO 1F and ICES 14,65800.0,0.369,24000.0,2.733241214046953,2021,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,0,Atlantic cod NAFO 1F and ICES 14
COD1IN,Atlantic cod NAFO Subarea 1 (inshore),23000.0,0.736,9900.0,1.1453253516149529,2021,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,0,Atlantic cod NAFO Subarea 1 (inshore)
COD2J3KL,Atlantic cod Southern Labrador-Eastern Newfoundland,411000.0,0.02,167800.0,44.791021023156446,2021,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,0,Atlantic cod Southern Labrador-Eastern Newfoundland
COD3M,Atlantic cod Flemish Cap,36100.0,0.327,7220.0,4.921828478391744,2012,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,0,Atlantic cod Flemish Cap
COD3Pn4RS,Atlantic cod Northern Gulf of St. Lawrence,12920.543,0.09,64229.18000000001,0.0,2019,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,1,Atlantic cod Northern Gulf of St. Lawrence
COD4TVn,Atlantic cod Southern Gulf of St. Lawrence,18321.512,0.003520221,78723.40600000002,0.0,2018,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,1,Atlantic cod Southern Gulf of St. Lawrence
